measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Mpumalanga,Male,55-59 years,All causes,Number,1992,357.4854768044416,425.1370651967537,297.3253984740515
Deaths,Mpumalanga,Female,55-59 years,All causes,Number,1992,269.02310458315156,312.23959355116676,227.40020306434403
Deaths,Mpumalanga,Male,55-59 years,All causes,Rate,1992,1478.5363295998065,1758.3388325917922,1229.718217607777
Deaths,Mpumalanga,Female,55-59 years,All causes,Rate,1992,872.9148725460153,1013.1419211404267,737.8586295865737
Deaths,Western Cape,Male,15-19 years,All causes,Number,1991,415.5417935710851,469.4278573061339,366.90533383304677
Deaths,Western Cape,Female,15-19 years,All causes,Number,1991,176.59177352827427,191.87940613919042,161.46752405765122
Deaths,Western Cape,Male,15-19 years,All causes,Rate,1991,229.22773543606218,258.953218053337,202.39812239144652
Deaths,Western Cape,Female,15-19 years,All causes,Rate,1991,99.46387695243314,108.0745114034354,90.94526672338351
Deaths,Western Cape,Male,20-24 years,All causes,Number,1991,789.7339064253308,886.2719941102722,694.6680743218511
Deaths,Western Cape,Female,20-24 years,All causes,Number,1991,363.1789164276814,421.40283591575763,311.26700184260295
Deaths,Western Cape,Male,20-24 years,All causes,Rate,1991,429.25136114842667,481.7235992076965,377.57935175752067
Deaths,Western Cape,Female,20-24 years,All causes,Rate,1991,196.7047477810558,228.23995227580053,168.58824761157868
Deaths,Western Cape,Male,25-29 years,All causes,Number,1991,909.7582144483333,996.4362775279578,823.4394631654343
Deaths,Western Cape,Female,25-29 years,All causes,Number,1991,534.799318868054,632.597120968573,448.2262385338412
Deaths,Western Cape,Male,25-29 years,All causes,Rate,1991,519.9934819810139,569.5363463556714,470.65599062671464
Deaths,Western Cape,Female,25-29 years,All causes,Rate,1991,303.5591564097815,359.07048048401543,254.4191326534426
Deaths,Western Cape,Male,30-34 years,All causes,Number,1991,945.2680631712919,1038.9102891484279,852.3105969492243
Deaths,Western Cape,Female,30-34 years,All causes,Number,1991,564.8332137405223,662.8908645078004,478.0338524014277
Deaths,Western Cape,Male,30-34 years,All causes,Rate,1991,634.1802276992239,697.0047856274875,571.8150750066899
Deaths,Western Cape,Female,30-34 years,All causes,Rate,1991,372.11846409197284,436.71994557062607,314.93407011526494
Deaths,Western Cape,Male,35-39 years,All causes,Number,1991,923.2708908430855,1034.836441882428,814.7650530877224
Deaths,Western Cape,Female,35-39 years,All causes,Number,1991,562.2582551171012,658.7312450898793,477.3035173394373
Deaths,Western Cape,Male,35-39 years,All causes,Rate,1991,751.4284939211412,842.2290756598576,663.1181409631797
Deaths,Western Cape,Female,35-39 years,All causes,Rate,1991,447.74383033697546,524.5682889578213,380.0917161142645
Deaths,Western Cape,Male,40-44 years,All causes,Number,1991,937.4034714903916,1071.6525039729945,808.3990864739351
Deaths,Western Cape,Female,40-44 years,All causes,Number,1991,562.5670282973572,655.6168950404019,480.4592269234815
Deaths,Western Cape,Male,40-44 years,All causes,Rate,1991,930.1510353451531,1063.3614195132864,802.1447222296885
Deaths,Western Cape,Female,40-44 years,All causes,Rate,1991,545.3686624709162,635.5738803670625,465.7709975504797
Deaths,Western Cape,Male,45-49 years,All causes,Number,1991,972.7196293045472,1132.7567622042968,818.1968775379676
Deaths,Western Cape,Female,45-49 years,All causes,Number,1991,622.0462967425942,724.7422085496612,531.5888655379058
Deaths,Western Cape,Male,45-49 years,All causes,Rate,1991,1221.3850866028383,1422.334015294844,1027.3602320993205
Deaths,Western Cape,Female,45-49 years,All causes,Rate,1991,726.7229616052276,846.700329148443,621.0435408796125
Deaths,Western Cape,Male,50-54 years,All causes,Number,1991,1123.7061083700457,1313.0560589725608,941.4514185799057
Deaths,Western Cape,Female,50-54 years,All causes,Number,1991,722.081472645139,840.0432098019276,617.4542777831763
Deaths,Western Cape,Male,50-54 years,All causes,Rate,1991,1662.7212885678928,1942.8979215068653,1393.0433448438264
Deaths,Western Cape,Female,50-54 years,All causes,Rate,1991,1027.9003084001574,1195.8216726732312,878.9609851522013
Deaths,Western Cape,Male,55-59 years,All causes,Number,1991,1194.7574199667806,1395.2733841272013,1001.5763166088014
Deaths,Western Cape,Female,55-59 years,All causes,Number,1991,783.8998260070857,907.5642698619721,672.9396911942196
Deaths,Western Cape,Male,55-59 years,All causes,Rate,1991,2275.959623051715,2657.9335958261145,1907.958233119719
Deaths,Western Cape,Female,55-59 years,All causes,Rate,1991,1417.501193127396,1641.1196847969593,1216.8555005674482
Deaths,North-West,Male,15-19 years,All causes,Number,1992,181.50140449193742,209.56402113307604,156.20862949531593
Deaths,North-West,Female,15-19 years,All causes,Number,1992,235.47411444093862,275.2200485959597,208.23950586515923
Deaths,North-West,Male,15-19 years,All causes,Rate,1992,108.32855975377404,125.07764691464973,93.23264413135801
Deaths,North-West,Female,15-19 years,All causes,Rate,1992,129.6879021009636,151.57806539914898,114.68837971558644
Deaths,North-West,Male,20-24 years,All causes,Number,1992,365.12139520225725,420.3327912293075,315.93416549525944
Deaths,North-West,Female,20-24 years,All causes,Number,1992,439.8725682873418,541.0975328575867,363.1637380139278
